"","UserId","nSongs","nErrors","avgLatencies","daySessionStarted","hourSessionStarted","nSongsSkipped","DeviceOS"
"1","1","38","3","649.8478","2021-04-07","19","4","android"
"2","1","9","1","352.0452","2021-04-08","8","1","android"
"3","1","1","1","263.9226","2021-04-09","1","0","android"
"4","1","34","4","583.0707","2021-04-09","3","2","android"
"5","1","34","2","365.1533","2021-04-07","19","0","android"
"6","2","3","2","273.8098","2021-04-09","9","0","iOS"
"7","2","11","2","260.0373","2021-04-05","17","3","iOS"
"8","2","1","1","173.747","2021-04-09","8","0","iOS"
"9","2","1","1","405.3958","2021-04-09","4","0","iOS"
"10","3","43","1","167.5177","2021-04-09","8","1","iOS"
"11","3","1","1","267.1666","2021-04-05","22","0","iOS"
"12","3","1","1","177.9303","2021-04-08","18","0","iOS"
"13","3","3","3","1320.727","2021-04-08","10","0","iOS"
"14","3","28","3","420.156","2021-04-11","22","2","iOS"
"15","3","1","1","275.2856","2021-04-10","19","0","iOS"
"16","3","1","0","1033.7489","2021-04-08","21","0","iOS"
"17","3","1","0","274.4386","2021-04-07","8","0","iOS"
"18","3","1","1","171.9862","2021-04-10","9","0","iOS"
"19","3","1","1","444.3951","2021-04-10","18","0","iOS"
"20","3","6","1","482.3633","2021-04-10","21","0","iOS"
"21","3","17","1","245.063","2021-04-10","21","0","iOS"
"22","3","20","1","363.3667","2021-04-06","7","1","iOS"
"23","3","14","1","402.9648","2021-04-10","23","0","iOS"
"24","4","7","2","472.3017","2021-04-10","20","1","iOS"
"25","4","3","1","280.346","2021-04-09","10","0","iOS"
"26","5","1","0","120.1294","2021-04-11","17","0","iOS"
"27","5","27","1","219.9443","2021-04-05","7","4","iOS"
"28","5","11","2","382.5127","2021-04-05","18","2","iOS"
"29","5","1","0","387.3296","2021-04-10","20","1","iOS"
"30","6","1","0","478.4806","2021-04-06","8","0","android"
"31","6","1","0","100.4049","2021-04-07","19","0","android"
"32","6","1","0","102.5072","2021-04-11","17","0","android"
"33","6","7","0","92.1487","2021-04-07","9","1","android"
"34","7","26","4","623.7457","2021-04-09","16","3","iOS"
"35","7","10","2","1030.0601","2021-04-11","17","1","iOS"
"36","7","10","1","176.2665","2021-04-09","20","3","iOS"
"37","8","1","0","639.0479","2021-04-09","9","0","android"
"38","9","18","4","830.7094","2021-04-09","21","3","android"
"39","10","22","0","107.4551","2021-04-10","20","0","android"
"40","10","38","2","299.7576","2021-04-09","9","0","android"
"41","10","1","0","387.0852","2021-04-09","9","0","android"
"42","10","13","2","609.8666","2021-04-08","9","0","android"
"43","10","13","3","375.378","2021-04-07","16","1","android"
"44","10","1","0","109.5633","2021-04-07","18","0","android"
"45","10","23","2","349.3328","2021-04-10","15","2","android"
"46","11","10","0","78.7353","2021-04-08","18","0","android"
"47","11","3","1","1014.9748","2021-04-09","20","0","android"
"48","11","1","0","104.7033","2021-04-08","1","0","android"
"49","11","1","0","137.3604","2021-04-05","8","0","android"
"50","11","17","1","315.2911","2021-04-10","20","0","android"
"51","12","1","0","231.105","2021-04-09","14","0","android"
"52","12","1","0","674.6965","2021-04-09","20","0","android"
"53","12","53","0","345.8183","2021-04-09","7","0","android"
"54","12","1","0","272.424","2021-04-08","14","0","android"
"55","12","1","0","82.737","2021-04-08","4","0","android"
"56","13","12","2","496.0124","2021-04-06","18","3","iOS"
"57","13","7","4","578.269","2021-04-10","2","1","iOS"
"58","13","1","1","220.4418","2021-04-08","17","0","iOS"
"59","13","1","0","352.2972","2021-04-08","19","0","iOS"
"60","13","1","2","928.9465","2021-04-09","12","0","iOS"
"61","13","18","4","689.2047","2021-04-09","6","6","iOS"
"62","13","17","3","368.8914","2021-04-05","14","0","iOS"
"63","13","13","3","441.4556","2021-04-09","13","5","iOS"
"64","13","1","0","274.151","2021-04-11","5","0","iOS"
"65","13","1","1","180.7043","2021-04-09","19","0","iOS"
"66","13","17","2","572.4263","2021-04-08","17","3","iOS"
"67","13","5","1","161.4649","2021-04-10","19","2","iOS"
"68","13","21","2","473.7966","2021-04-10","8","1","iOS"
"69","13","27","4","731.7621","2021-04-06","4","3","iOS"
"70","14","41","5","587.594","2021-04-08","5","4","iOS"
"71","14","1","0","99.2641","2021-04-10","19","0","iOS"
"72","14","16","4","487.5941","2021-04-08","8","2","iOS"
"73","14","1","1","193.2452","2021-04-07","8","0","iOS"
"74","14","3","1","308.0371","2021-04-08","7","0","iOS"
"75","14","1","0","171.1995","2021-04-07","17","0","iOS"
"76","14","1","0","433.2949","2021-04-06","23","1","iOS"
"77","14","6","4","657.8716","2021-04-11","17","0","iOS"
"78","14","20","1","340.3017","2021-04-06","15","1","iOS"
"79","14","1","0","81.5564","2021-04-11","16","0","iOS"
"80","14","14","1","341.6432","2021-04-09","17","1","iOS"
"81","14","1","1","401.916","2021-04-08","17","0","iOS"
"82","14","19","4","525.8668","2021-04-11","7","3","iOS"
"83","15","33","2","384.3869","2021-04-07","22","2","android"
"84","15","1","0","92.5853","2021-04-06","22","0","android"
"85","16","1","0","209.087","2021-04-08","6","0","iOS"
"86","16","3","1","724.5543","2021-04-05","23","1","iOS"
"87","16","1","0","119.7066","2021-04-08","5","0","iOS"
"88","16","1","1","383.6311","2021-04-10","18","0","iOS"
"89","16","20","3","868.0041","2021-04-05","1","2","iOS"
"90","16","23","0","1131.5347","2021-04-08","7","3","iOS"
"91","17","1","0","255.6223","2021-04-09","20","0","iOS"
"92","17","2","2","427.9105","2021-04-10","4","0","iOS"
"93","17","22","0","408.7963","2021-04-05","5","2","iOS"
"94","17","1","0","155.8524","2021-04-06","23","0","iOS"
"95","17","36","2","273.0781","2021-04-06","7","4","iOS"
"96","17","1","0","120.1313","2021-04-07","16","0","iOS"
"97","17","14","2","427.9273","2021-04-09","8","0","iOS"
"98","17","1","0","392.0391","2021-04-10","20","0","iOS"
"99","17","10","1","163.2212","2021-04-07","11","1","iOS"
"100","17","3","1","495.4995","2021-04-09","20","1","iOS"
"101","17","1","0","881.3076","2021-04-07","19","0","iOS"
"102","17","14","1","300.4505","2021-04-09","0","1","iOS"
"103","17","1","1","198.2623","2021-04-10","20","0","iOS"
"104","17","1","1","872.8693","2021-04-05","14","0","iOS"
"105","17","14","3","385.1565","2021-04-10","19","1","iOS"
"106","17","1","1","217.4899","2021-04-07","7","0","iOS"
"107","17","4","4","544.3957","2021-04-11","17","2","iOS"
"108","17","6","2","301.0326","2021-04-09","6","1","iOS"
"109","18","1","0","210.838","2021-04-09","8","0","android"
"110","18","26","1","335.8774","2021-04-08","10","4","android"
"111","18","1","0","130.6852","2021-04-11","17","0","android"
"112","18","20","2","572.81","2021-04-09","12","1","android"
"113","18","1","0","414.6391","2021-04-09","13","0","android"
